Comment,"Address (associated with ""acct"")",Stake,Status,"VRF identifier (associated with ""sel"")","Ephemeral identifier (associated with ""vote"")","Vote First Valid (associated with ""first"")","Vote Last Valid (associated with ""last"")","Vote Key Dilution (associated with ""voteKD"")"
,AICDUO6E46YBJRLM4DFJPVRVZGOFTRNPF7UPQXWEPPYRPVGIMQMLY5HLFM,"50,000,000",Online,0vxjPZqEreAhUt9PHJU2Eerb7gBhMU+PgyEXYLmbifg=,fuc0z/tpiZXBWARCJa4jPdmDvSmun4ShQLFiAxQkOFI=,0,3000000,10000
,DYATVHCICZA7VVOWZN6OLFFSKUAZ64TZ7WZWCJQBFWL3JL4VBBV6R7Z6IE,"50,000,000",Online,KO2035CRpp1XmVPOTOF6ICWCw/0I6FgelKxdwPq+gMY=,rlcoayAuud0suR3bvvI0+psi/NzxvAJUFlp+I4ntzkM=,0,3000000,10000
,6XJH2PJMAXWS4RGE6NBYIS3OZFOPU3LOHYC6MADBFUAALSWNFHMPJUWVSE,"50,000,000",Online,PgW1dncjs9chAVM89SB0FD4lIrygxrf+uqsAeZw8Qts=,pA4NJqjTAtHGGvZWET9kliq24Go5kEW8w7f1BGAWmKY=,0,3000000,10000
,EYOZMULFFZZ5QDDMWQ64HKIMUPPNEL3WJMNGAFD43L52ZXTPESBEVJPEZU,"50,000,000",Online,sfebD2noAbrn1vblMmeCIeGB3BxLGKQDTG4sKSNibFs=,Cuz3REj26J+JhOpf91u6PO6MV5ov5b1K/ii1U1uPD/g=,0,3000000,10000
,I3345FUQQ2GRBHFZQPLYQQX5HJMMRZMABCHRLWV6RCJYC6OO4MOLEUBEGU," 24,000,000 ",Online,MkH9KsdwiFgYtFFWFu48CeejEop1vsyGFG4/kqPIOFg=,RcntidhQqXQIvYjLFtc6HuL335rMnNX92roa2LcC+qQ=,0,3000000,10000
,6LQH42A4QJ3Y27FGKJWERY3MD65SXM4QQCJJR2HRJYNB427IQ73YBI3YFY," 24,000,000 ",Online,nF3mu9Bu0Ad5MIrT31NgTxxrsZOXc4u1+WCvaPQTYEQ=,NaqWR/7FzOq/MiHb3adO6+J+kvnQKat8NSqEmoEkVfE=,0,3000000,10000
,3V2MC7WJGAFU2EHWBHEETIMJVFJNAT4KKWVPOMJFJIM6ZPWEJRJ4POTXGI," 24,000,000 ",Online,3i4K8zdmnf1kxwgcNmI3x50iIwAxDmLMvoQEhjzhado=,wfJWa0kby76rqX2yvCD/aCfJdNt+qItylDPQiuAWFkQ=,0,3000000,10000
,FTXSKED23VEXNW442T2JKNPPNUC2WKFNRWBVQTFMT7HYX365IVLZXYILAI," 24,000,000 ",Online,icuL7ehcGonAcJ02Zy4MIHqcT+Sp1R1UURNCYJQHmo4=,tmFcj3v7X5DDxKI1IDbGdhXh3a5f0Ab1ftltM7TgIDE=,0,3000000,10000
,IAOW7PXLCDGLKMIQF26IXFF4THSQMU662MUU6W5KPOXHIVKHYFLYRWOUT4," 24,000,000 ",Online,zTn9rl/8Y2gokMdFyFP/pKg4eP02arkxlrBZIS94vPI=,a0pX68GgY7u8bd2Z3311+Mtc6yDnESZmi9k8zJ0oHzY=,0,3000000,10000
,4NRNE5RIGC2UGOMGMDR6L5YMQUV3Q76TPOR7TDU3WEMJLMC6BSBEKPJ2SY," 24,000,000 ",Online,orSV2VHPY8m5ckEHGwK0r+SM9jq4BujAICXegAUAecI=,NJ9tisH+7+S29m/uMymFTD8X02/PKU0JUX1ghnLCzkw=,0,3000000,10000
,E2EIMPLDISONNZLXONGMC33VBYOIBC2R7LVOS4SYIEZYJQK6PYSAPQL7LQ," 24,000,000 ",Online,XM2iW9wg9G5TyOfVu9kTS80LDIqcEPkJsgxaZll3SWA=,p/opFfDOsIomj5j7pAYU+G/CNUIwvD2XdEer6dhGquQ=,0,3000000,10000
,APDO5T76FB57LNURPHTLAGLQOHUQZXYHH2ZKR4DPQRKK76FB4IAOBVBXHQ," 24,000,000 ",Online,5k2vclbUQBE6zBl45F3kGSv1PYhE2k9wZjxyxoPlnwA=,3dcLRSckm3wd9KB0FBRxub3meIgT6lMZnv5F08GJgEo=,0,3000000,10000
,3KJTYHNHK37G2JDZJPV55IHBADU22TX2FPJZJH43MY64IFWKVNMP2F4JZE," 24,000,000 ",Online,o5e9VLqMdmJas5wRovfYFHgQ+Z6sQoATf3a6j0HeIXU=,rG7J8pPAW+Xtu5pqMIJOG9Hxdlyewtf9zPHEKR2Q6OE=,0,3000000,10000
,IVKDCE6MS44YVGMQQFVXCDABW2HKULKIXMLDS2AEOIA6P2OGMVHVJ64MZI," 24,000,000 ",Online,XgUrwumD7oin/rG3NKwywBSsTETg/aWg9MjCDG61Ybg=,sBPEGGrEqcQMdT+iq2ududNxCa/1HcluvsosO1SkE/k=,0,3000000,10000
