struct name,location,mirrorOf
Genesis,go-algorand/data/bookkeeping/genesis.go,
GenesisAllocation,go-algorand/data/bookkeeping/genesis.go,
GenesisBalances,go-algorand/data/bookkeeping/genesis.go,
GenesisData,go-algorand/gen/walletData.go,
GenesisMetadata,go-algorand/cmd/incorporate/incorporate.go,
GetBlockParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,
GetPendingTransactionsByAddressParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,
GetPendingTransactionsParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,
GetTransactionProofParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,
GetZonesResult,go-algorand/tools/network/cloudflare/zones.go,
GetZonesResultItem,go-algorand/tools/network/cloudflare/zones.go,
GetZonesResultPage,go-algorand/tools/network/cloudflare/zones.go,
Global,go-algorand/config/consensus.go,
GoalFixture,go-algorand/test/framework/fixtures/goalFixture.go,
GroupContext,go-algorand/data/transactions/verify/txn.go,
GroupTaskError,go-algorand/ledger/internal/prefetcher/error.go,
HTTPError,go-algorand/daemon/algod/api/client/restClient.go,
HTTPFetcher,go-algorand/catchup/universalFetcher.go,
HTTPRequestDetails,go-algorand/logging/telemetryspec/event.go,
HTTPTxSync,go-algorand/rpcs/httpTxSync.go,
Handlers,go-algorand/daemon/algod/api/server/v2/handlers.go,
HashFactory,go-algorand/crypto/hashes.go,
Header,go-algorand/data/transactions/transaction.go,
HeartbeatEventDetails,go-algorand/logging/telemetryspec/event.go,
Helper,go-algorand/util/s3/s3Helper.go,
HelperStruct1,go-algorand/protocol/codec_test.go,
HelperStruct2,go-algorand/protocol/codec_test.go,
Host,go-algorand/test/commandandcontrol/cc_agent/component/agent.go,
HostConfig,go-algorand/netdeploy/remote/hostConfig.go,
HostConfig,go-algorand/shared/algoh/config.go,
HostTemplates,go-algorand/netdeploy/remote/hostTemplate.go,
InMemoryCommitter,go-algorand/crypto/merkletrie/committer.go,
IncludedTransactions,go-algorand/ledger/ledgercore/statedelta.go,
IncomingMessage,go-algorand/network/wsNetwork.go,
IndexSuite,go-algorand/node/indexer/indexer_test.go,
Indexer,go-algorand/node/indexer/indexer.go,
InitState,go-algorand/ledger/ledgercore/misc.go,
InlineChild,go-algorand/protocol/codec_test.go,
InlineParent,go-algorand/protocol/codec_test.go,
Instance,go-algorand/test/commandandcontrol/cc_agent/component/agent.go,
KATElement,go-algorand/crypto/merklearray/merkle_test.go,
KMDClient,go-algorand/daemon/kmd/client/client.go,
KMDConfig,go-algorand/daemon/kmd/config/config.go,
KMDController,go-algorand/nodecontrol/kmdControl.go,
KMDFixture,go-algorand/test/framework/fixtures/kmdFixture.go,
KMDStartArgs,go-algorand/nodecontrol/NodeController.go,
KeyDigest,go-algorand/tools/network/dnssec/anchor.go,
KeyManagerProxy,go-algorand/agreement/pseudonode_test.go,
