score,go-algorand struct,go-algorand-sdk struct,go-algorand location,go-algorand-sdk location
1.00,SourceMap,SourceMap,go-algorand/data/transactions/logic/sourcemap.go,go-algorand-sdk/logic/source_map.go
1.00,StateProof,StateProof,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/state_proof.go
1.00,StateProof,StateProof,go-algorand/crypto/stateproof/structs.go,go-algorand-sdk/types/stateproof.go
1.00,StateProof,StateProof,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/state_proof.go
1.00,StateProof,StateProof,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/types/stateproof.go
1.00,StateProof,StateProof,go-algorand/crypto/stateproof/structs.go,go-algorand-sdk/client/v2/common/models/state_proof.go
1.00,StateProof,StateProof,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/types/stateproof.go
1.00,StateProofMessage,StateProofMessage,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/state_proof_message.go
1.00,StateProofMessage,StateProofMessage,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/state_proof_message.go
1.00,StateProofTrackingData,StateProofTrackingData,go-algorand/data/bookkeeping/block.go,go-algorand-sdk/types/block.go
1.00,StateProofTxnFields,StateProofTxnFields,go-algorand/data/transactions/stateproof.go,go-algorand-sdk/types/stateproof.go
1.00,StateSchema,StateSchema,go-algorand/data/basics/teal.go,go-algorand-sdk/types/applications.go
1.00,StateSchema,StateSchema,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/common/models/state_schema.go
1.00,StateSchema,StateSchema,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/types/applications.go
1.00,StateSchema,StateSchema,go-algorand/data/basics/teal.go,go-algorand-sdk/client/v2/common/models/state_schema.go
1.00,StateSchemas,StateSchemas,go-algorand/data/basics/userBalance.go,go-algorand-sdk/types/statedelta.go
1.00,Supply,Supply,go-algorand/daemon/algod/api/spec/v1/model.go,go-algorand-sdk/client/v2/algod/getSupply.go
1.00,SupplyResponse,SupplyResponse,go-algorand/daemon/algod/api/server/v1/handlers/responses.go,go-algorand-sdk/client/v2/common/models/supply_response.go
1.00,SupplyResponse,SupplyResponse,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/common/models/supply_response.go
1.00,SupplyResponse,SupplyResponse,go-algorand/daemon/algod/api/server/v2/generated/private/types.go,go-algorand-sdk/client/v2/common/models/supply_response.go
1.00,TealCompileParams,TealCompileParams,go-algorand/daemon/algod/api/server/v2/generated/types.go,go-algorand-sdk/client/v2/algod/tealCompile.go
